real/dining table_114871.png,fake/glide_inpainting_val2017_114871_up.png,mask/dining table_114871_mask.png
real/teddy bear_563758.png,fake/glide_inpainting_val2017_563758_up.png,mask/teddy bear_563758_mask.png
real/refrigerator_73326.png,fake/glide_inpainting_val2017_73326_up.png,mask/refrigerator_73326_mask.png
real/cake_493334.png,fake/glide_inpainting_val2017_493334_up.png,mask/cake_493334_mask.png
real/sheep_364322.png,fake/glide_inpainting_val2017_364322_up.png,mask/sheep_364322_mask.png
real/bus_405205.png,fake/glide_inpainting_val2017_405205_up.png,mask/bus_405205_mask.png
real/train_66135.png,fake/glide_inpainting_val2017_66135_up.png,mask/train_66135_mask.png
real/bus_95843.png,fake/glide_inpainting_val2017_95843_up.png,mask/bus_95843_mask.png
real/clock_164363.png,fake/glide_inpainting_val2017_164363_up.png,mask/clock_164363_mask.png
real/orange_128598.png,fake/glide_inpainting_val2017_128598_up.png,mask/orange_128598_mask.png
real/laptop_80949.png,fake/glide_inpainting_val2017_80949_up.png,mask/laptop_80949_mask.png
real/teddy bear_409268.png,fake/glide_inpainting_val2017_409268_up.png,mask/teddy bear_409268_mask.png
real/cow_402992.png,fake/glide_inpainting_val2017_402992_up.png,mask/cow_402992_mask.png
real/toaster_66841.png,fake/glide_inpainting_val2017_66841_up.png,mask/toaster_66841_mask.png
real/train_221213.png,fake/glide_inpainting_val2017_221213_up.png,mask/train_221213_mask.png
real/toilet_331352.png,fake/glide_inpainting_val2017_331352_up.png,mask/toilet_331352_mask.png
real/teddy bear_220310.png,fake/glide_inpainting_val2017_220310_up.png,mask/teddy bear_220310_mask.png
real/elephant_270402.png,fake/glide_inpainting_val2017_270402_up.png,mask/elephant_270402_mask.png
real/tv_66635.png,fake/glide_inpainting_val2017_66635_up.png,mask/tv_66635_mask.png
real/bus_201934.png,fake/glide_inpainting_val2017_201934_up.png,mask/bus_201934_mask.png
real/parking meter_53994.png,fake/glide_inpainting_val2017_53994_up.png,mask/parking meter_53994_mask.png
real/tv_387098.png,fake/glide_inpainting_val2017_387098_up.png,mask/tv_387098_mask.png
real/dog_355905.png,fake/glide_inpainting_val2017_355905_up.png,mask/dog_355905_mask.png
real/cow_267434.png,fake/glide_inpainting_val2017_267434_up.png,mask/cow_267434_mask.png
real/tv_56344.png,fake/glide_inpainting_val2017_56344_up.png,mask/tv_56344_mask.png
real/banana_346707.png,fake/glide_inpainting_val2017_346707_up.png,mask/banana_346707_mask.png
real/refrigerator_435880.png,fake/glide_inpainting_val2017_435880_up.png,mask/refrigerator_435880_mask.png
real/kite_450439.png,fake/glide_inpainting_val2017_450439_up.png,mask/kite_450439_mask.png
real/boat_561335.png,fake/glide_inpainting_val2017_561335_up.png,mask/boat_561335_mask.png
real/potted plant_415238.png,fake/glide_inpainting_val2017_415238_up.png,mask/potted plant_415238_mask.png
real/apple_562059.png,fake/glide_inpainting_val2017_562059_up.png,mask/apple_562059_mask.png
real/baseball glove_27932.png,fake/glide_inpainting_val2017_27932_up.png,mask/baseball glove_27932_mask.png
real/pizza_369757.png,fake/glide_inpainting_val2017_369757_up.png,mask/pizza_369757_mask.png
real/bicycle_224051.png,fake/glide_inpainting_val2017_224051_up.png,mask/bicycle_224051_mask.png
real/sandwich_173091.png,fake/glide_inpainting_val2017_173091_up.png,mask/sandwich_173091_mask.png
real/umbrella_121506.png,fake/glide_inpainting_val2017_121506_up.png,mask/umbrella_121506_mask.png
real/train_184400.png,fake/glide_inpainting_val2017_184400_up.png,mask/train_184400_mask.png
real/bird_572517.png,fake/glide_inpainting_val2017_572517_up.png,mask/bird_572517_mask.png
real/broccoli_350388.png,fake/glide_inpainting_val2017_350388_up.png,mask/broccoli_350388_mask.png
real/sandwich_170595.png,fake/glide_inpainting_val2017_170595_up.png,mask/sandwich_170595_mask.png
real/knife_2592.png,fake/glide_inpainting_val2017_2592_up.png,mask/knife_2592_mask.png
real/broccoli_34205.png,fake/glide_inpainting_val2017_34205_up.png,mask/broccoli_34205_mask.png
real/potted plant_372260.png,fake/glide_inpainting_val2017_372260_up.png,mask/potted plant_372260_mask.png
real/cow_314034.png,fake/glide_inpainting_val2017_314034_up.png,mask/cow_314034_mask.png
real/sheep_528524.png,fake/glide_inpainting_val2017_528524_up.png,mask/sheep_528524_mask.png
real/broccoli_549167.png,fake/glide_inpainting_val2017_549167_up.png,mask/broccoli_549167_mask.png
real/traffic light_571943.png,fake/glide_inpainting_val2017_571943_up.png,mask/traffic light_571943_mask.png
real/broccoli_3501.png,fake/glide_inpainting_val2017_3501_up.png,mask/broccoli_3501_mask.png
real/vase_159282.png,fake/glide_inpainting_val2017_159282_up.png,mask/vase_159282_mask.png
real/cell phone_561366.png,fake/glide_inpainting_val2017_561366_up.png,mask/cell phone_561366_mask.png
real/sandwich_191580.png,fake/glide_inpainting_val2017_191580_up.png,mask/sandwich_191580_mask.png
real/spoon_116362.png,fake/glide_inpainting_val2017_116362_up.png,mask/spoon_116362_mask.png
real/couch_47769.png,fake/glide_inpainting_val2017_47769_up.png,mask/couch_47769_mask.png
real/orange_386210.png,fake/glide_inpainting_val2017_386210_up.png,mask/orange_386210_mask.png
real/umbrella_146363.png,fake/glide_inpainting_val2017_146363_up.png,mask/umbrella_146363_mask.png
real/giraffe_417876.png,fake/glide_inpainting_val2017_417876_up.png,mask/giraffe_417876_mask.png
real/skateboard_544052.png,fake/glide_inpainting_val2017_544052_up.png,mask/skateboard_544052_mask.png
real/umbrella_222991.png,fake/glide_inpainting_val2017_222991_up.png,mask/umbrella_222991_mask.png
real/tv_72813.png,fake/glide_inpainting_val2017_72813_up.png,mask/tv_72813_mask.png
real/suitcase_81061.png,fake/glide_inpainting_val2017_81061_up.png,mask/suitcase_81061_mask.png
real/bicycle_426166.png,fake/glide_inpainting_val2017_426166_up.png,mask/bicycle_426166_mask.png
real/airplane_567432.png,fake/glide_inpainting_val2017_567432_up.png,mask/airplane_567432_mask.png
real/fire hydrant_293474.png,fake/glide_inpainting_val2017_293474_up.png,mask/fire hydrant_293474_mask.png
real/airplane_44652.png,fake/glide_inpainting_val2017_44652_up.png,mask/airplane_44652_mask.png
real/airplane_208901.png,fake/glide_inpainting_val2017_208901_up.png,mask/airplane_208901_mask.png
real/tv_366141.png,fake/glide_inpainting_val2017_366141_up.png,mask/tv_366141_mask.png
real/bicycle_36844.png,fake/glide_inpainting_val2017_36844_up.png,mask/bicycle_36844_mask.png
real/giraffe_285788.png,fake/glide_inpainting_val2017_285788_up.png,mask/giraffe_285788_mask.png
real/broccoli_231822.png,fake/glide_inpainting_val2017_231822_up.png,mask/broccoli_231822_mask.png
real/hot dog_452084.png,fake/glide_inpainting_val2017_452084_up.png,mask/hot dog_452084_mask.png
real/giraffe_217614.png,fake/glide_inpainting_val2017_217614_up.png,mask/giraffe_217614_mask.png
real/bear_308753.png,fake/glide_inpainting_val2017_308753_up.png,mask/bear_308753_mask.png
